Series ID,Year,Period,Label,Value
LEU0257917200,1979,Q01,1979 Qtr1,62.1
LEU0257917200,1979,Q02,1979 Qtr2,61.6
LEU0257917200,1979,Q03,1979 Qtr3,63.1
LEU0257917200,1979,Q04,1979 Qtr4,63.0
LEU0257917200,1980,Q01,1980 Qtr1,63.8
LEU0257917200,1980,Q02,1980 Qtr2,64.3
LEU0257917200,1980,Q03,1980 Qtr3,64.4
LEU0257917200,1980,Q04,1980 Qtr4,63.9
LEU0257917200,1981,Q01,1981 Qtr1,64.4
LEU0257917200,1981,Q02,1981 Qtr2,64.4
LEU0257917200,1981,Q03,1981 Qtr3,65.2
LEU0257917200,1981,Q04,1981 Qtr4,63.7
LEU0257917200,1982,Q01,1982 Qtr1,65.6
LEU0257917200,1982,Q02,1982 Qtr2,65.6
LEU0257917200,1982,Q03,1982 Qtr3,64.8
LEU0257917200,1982,Q04,1982 Qtr4,66.0
LEU0257917200,1983,Q01,1983 Qtr1,66.3
LEU0257917200,1983,Q02,1983 Qtr2,66.9
LEU0257917200,1983,Q03,1983 Qtr3,65.7
LEU0257917200,1983,Q04,1983 Qtr4,67.3
LEU0257917200,1984,Q01,1984 Qtr1,67.4
LEU0257917200,1984,Q02,1984 Qtr2,67.8
LEU0257917200,1984,Q03,1984 Qtr3,67.8
LEU0257917200,1984,Q04,1984 Qtr4,67.5
LEU0257917200,1985,Q01,1985 Qtr1,66.8
LEU0257917200,1985,Q02,1985 Qtr2,68.6
LEU0257917200,1985,Q03,1985 Qtr3,68.6
LEU0257917200,1985,Q04,1985 Qtr4,68.5
LEU0257917200,1986,Q01,1986 Qtr1,68.5
LEU0257917200,1986,Q02,1986 Qtr2,69.7
LEU0257917200,1986,Q03,1986 Qtr3,69.3
LEU0257917200,1986,Q04,1986 Qtr4,69.2
LEU0257917200,1987,Q01,1987 Qtr1,68.9
LEU0257917200,1987,Q02,1987 Qtr2,70.7
LEU0257917200,1987,Q03,1987 Qtr3,70.3
LEU0257917200,1987,Q04,1987 Qtr4,69.4
LEU0257917200,1988,Q01,1988 Qtr1,69.3
LEU0257917200,1988,Q02,1988 Qtr2,70.6
LEU0257917200,1988,Q03,1988 Qtr3,70.7
LEU0257917200,1988,Q04,1988 Qtr4,69.9
LEU0257917200,1989,Q01,1989 Qtr1,69.7
LEU0257917200,1989,Q02,1989 Qtr2,69.4
LEU0257917200,1989,Q03,1989 Qtr3,71.8
LEU0257917200,1989,Q04,1989 Qtr4,69.6
LEU0257917200,1990,Q01,1990 Qtr1,71.3
LEU0257917200,1990,Q02,1990 Qtr2,72.2
LEU0257917200,1990,Q03,1990 Qtr3,71.6
LEU0257917200,1990,Q04,1990 Qtr4,72.7
LEU0257917200,1991,Q01,1991 Qtr1,73.0
LEU0257917200,1991,Q02,1991 Qtr2,75.5
LEU0257917200,1991,Q03,1991 Qtr3,74.5
LEU0257917200,1991,Q04,1991 Qtr4,74.2
LEU0257917200,1992,Q01,1992 Qtr1,75.4
LEU0257917200,1992,Q02,1992 Qtr2,75.8
LEU0257917200,1992,Q03,1992 Qtr3,75.9
LEU0257917200,1992,Q04,1992 Qtr4,76.2
LEU0257917200,1993,Q01,1993 Qtr1,77.2
LEU0257917200,1993,Q02,1993 Qtr2,76.4
LEU0257917200,1993,Q03,1993 Qtr3,77.4
LEU0257917200,1993,Q04,1993 Qtr4,77.3
LEU0257917200,1994,Q01,1994 Qtr1,75.4
LEU0257917200,1994,Q02,1994 Qtr2,76.0
LEU0257917200,1994,Q03,1994 Qtr3,77.9
LEU0257917200,1994,Q04,1994 Qtr4,75.9
LEU0257917200,1995,Q01,1995 Qtr1,75.9
LEU0257917200,1995,Q02,1995 Qtr2,75.8
LEU0257917200,1995,Q03,1995 Qtr3,75.6
LEU0257917200,1995,Q04,1995 Qtr4,74.3
LEU0257917200,1996,Q01,1996 Qtr1,75.2
LEU0257917200,1996,Q02,1996 Qtr2,74.7
LEU0257917200,1996,Q03,1996 Qtr3,75.2
LEU0257917200,1996,Q04,1996 Qtr4,75.2
LEU0257917200,1997,Q01,1997 Qtr1,73.4
LEU0257917200,1997,Q02,1997 Qtr2,74.8
LEU0257917200,1997,Q03,1997 Qtr3,74.9
LEU0257917200,1997,Q04,1997 Qtr4,75.0
LEU0257917200,1998,Q01,1998 Qtr1,76.3
LEU0257917200,1998,Q02,1998 Qtr2,75.6
LEU0257917200,1998,Q03,1998 Qtr3,76.7
LEU0257917200,1998,Q04,1998 Qtr4,76.7
LEU0257917200,1999,Q01,1999 Qtr1,76.5
LEU0257917200,1999,Q02,1999 Qtr2,75.7
LEU0257917200,1999,Q03,1999 Qtr3,77.2
LEU0257917200,1999,Q04,1999 Qtr4,76.3
LEU0257917200,2000,Q01,2000 Qtr1,76.3
LEU0257917200,2000,Q02,2000 Qtr2,76.1
LEU0257917200,2000,Q03,2000 Qtr3,78.3
LEU0257917200,2000,Q04,2000 Qtr4,77.1
LEU0257917200,2001,Q01,2001 Qtr1,77.2
LEU0257917200,2001,Q02,2001 Qtr2,77.0
LEU0257917200,2001,Q03,2001 Qtr3,75.0
LEU0257917200,2001,Q04,2001 Qtr4,76.7
LEU0257917200,2002,Q01,2002 Qtr1,77.7
LEU0257917200,2002,Q02,2002 Qtr2,76.8
LEU0257917200,2002,Q03,2002 Qtr3,78.5
LEU0257917200,2002,Q04,2002 Qtr4,79.0
LEU0257917200,2003,Q01,2003 Qtr1,79.3
LEU0257917200,2003,Q02,2003 Qtr2,79.0
LEU0257917200,2003,Q03,2003 Qtr3,79.8
LEU0257917200,2003,Q04,2003 Qtr4,79.7
LEU0257917200,2004,Q01,2004 Qtr1,79.7
LEU0257917200,2004,Q02,2004 Qtr2,80.1
LEU0257917200,2004,Q03,2004 Qtr3,81.1
LEU0257917200,2004,Q04,2004 Qtr4,80.1
LEU0257917200,2005,Q01,2005 Qtr1,80.4
LEU0257917200,2005,Q02,2005 Qtr2,81.3
LEU0257917200,2005,Q03,2005 Qtr3,81.7
LEU0257917200,2005,Q04,2005 Qtr4,80.4
LEU0257917200,2006,Q01,2006 Qtr1,80.6
LEU0257917200,2006,Q02,2006 Qtr2,81.1
LEU0257917200,2006,Q03,2006 Qtr3,80.0
LEU0257917200,2006,Q04,2006 Qtr4,81.3
LEU0257917200,2007,Q01,2007 Qtr1,81.0
LEU0257917200,2007,Q02,2007 Qtr2,79.6
LEU0257917200,2007,Q03,2007 Qtr3,80.3
LEU0257917200,2007,Q04,2007 Qtr4,79.8
LEU0257917200,2008,Q01,2008 Qtr1,80.6
LEU0257917200,2008,Q02,2008 Qtr2,79.2
LEU0257917200,2008,Q03,2008 Qtr3,79.3
LEU0257917200,2008,Q04,2008 Qtr4,80.5
LEU0257917200,2009,Q01,2009 Qtr1,78.9
LEU0257917200,2009,Q02,2009 Qtr2,80.0
LEU0257917200,2009,Q03,2009 Qtr3,80.9
LEU0257917200,2009,Q04,2009 Qtr4,81.2
LEU0257917200,2010,Q01,2010 Qtr1,78.8
LEU0257917200,2010,Q02,2010 Qtr2,83.0
LEU0257917200,2010,Q03,2010 Qtr3,81.4
LEU0257917200,2010,Q04,2010 Qtr4,81.8
LEU0257917200,2011,Q01,2011 Qtr1,82.4
LEU0257917200,2011,Q02,2011 Qtr2,83.5
LEU0257917200,2011,Q03,2011 Qtr3,81.4
LEU0257917200,2011,Q04,2011 Qtr4,81.6
LEU0257917200,2012,Q01,2012 Qtr1,82.2
LEU0257917200,2012,Q02,2012 Qtr2,79.7
LEU0257917200,2012,Q03,2012 Qtr3,82.7
LEU0257917200,2012,Q04,2012 Qtr4,79.1
LEU0257917200,2013,Q01,2013 Qtr1,81.2
LEU0257917200,2013,Q02,2013 Qtr2,82.2
LEU0257917200,2013,Q03,2013 Qtr3,82.4
LEU0257917200,2013,Q04,2013 Qtr4,82.0
LEU0257917200,2014,Q01,2014 Qtr1,82.8
LEU0257917200,2014,Q02,2014 Qtr2,83.5
LEU0257917200,2014,Q03,2014 Qtr3,82.2
LEU0257917200,2014,Q04,2014 Qtr4,82.1
LEU0257917200,2015,Q01,2015 Qtr1,81.6
LEU0257917200,2015,Q02,2015 Qtr2,81.9
LEU0257917200,2015,Q03,2015 Qtr3,81.1
LEU0257917200,2015,Q04,2015 Qtr4,80.4
LEU0257917200,2016,Q01,2016 Qtr1,82.2
LEU0257917200,2016,Q02,2016 Qtr2,81.8
LEU0257917200,2016,Q03,2016 Qtr3,81.8
LEU0257917200,2016,Q04,2016 Qtr4,81.8
LEU0257917200,2017,Q01,2017 Qtr1,80.5
LEU0257917200,2017,Q02,2017 Qtr2,83.5
LEU0257917200,2017,Q03,2017 Qtr3,81.9
LEU0257917200,2017,Q04,2017 Qtr4,81.3
LEU0257917200,2018,Q01,2018 Qtr1,81.1
LEU0257917200,2018,Q02,2018 Qtr2,81.3
LEU0257917200,2018,Q03,2018 Qtr3,81.8
LEU0257917200,2018,Q04,2018 Qtr4,80.0
LEU0257917200,2019,Q01,2019 Qtr1,80.3
LEU0257917200,2019,Q02,2019 Qtr2,81.4
LEU0257917200,2019,Q03,2019 Qtr3,82.3
LEU0257917200,2019,Q04,2019 Qtr4,82.5
LEU0257917200,2020,Q01,2020 Qtr1,80.4
LEU0257917200,2020,Q02,2020 Qtr2,84.0
LEU0257917200,2020,Q03,2020 Qtr3,81.7
LEU0257917200,2020,Q04,2020 Qtr4,83.4
LEU0257917200,2021,Q01,2021 Qtr1,82.6
LEU0257917200,2021,Q02,2021 Qtr2,82.2
LEU0257917200,2021,Q03,2021 Qtr3,83.3
LEU0257917200,2021,Q04,2021 Qtr4,84.3
LEU0257917200,2022,Q01,2022 Qtr1,83.2
LEU0257917200,2022,Q02,2022 Qtr2,82.4
LEU0257917200,2022,Q03,2022 Qtr3,83.4
LEU0257917200,2022,Q04,2022 Qtr4,82.9
LEU0257917200,2023,Q01,2023 Qtr1,84.0
LEU0257917200,2023,Q02,2023 Qtr2,84.1
LEU0257917200,2023,Q03,2023 Qtr3,83.2
LEU0257917200,2023,Q04,2023 Qtr4,83.8
LEU0257917200,2024,Q01,2024 Qtr1,83.2
LEU0257917200,2024,Q02,2024 Qtr2,81.2
LEU0257917200,2024,Q03,2024 Qtr3,83.4
LEU0257917200,2024,Q04,2024 Qtr4,83.2
LEU0257917200,2025,Q01,2025 Qtr1,83.9
LEU0257917200,2025,Q02,2025 Qtr2,81.1
LEU0257917200,2025,Q03,2025 Qtr3,80.7
LEU0257917200,2025,Q04,2025 Qtr4,-
LEU0257917200,2026,Q01,2026 Qtr1,80.6
