Series ID,Year,Period,Label,Value
LEU0257917249,2012,A01,2012 Annual,76.0
LEU0257917249,2013,A01,2013 Annual,74.3
LEU0257917249,2014,A01,2014 Annual,73.2
LEU0257917249,2015,A01,2015 Annual,75.2
LEU0257917249,2016,A01,2016 Annual,69.9
LEU0257917249,2017,A01,2017 Annual,72.7
LEU0257917249,2018,A01,2018 Annual,71.8
LEU0257917249,2019,A01,2019 Annual,74.5
LEU0257917249,2020,A01,2020 Annual,72.7
LEU0257917249,2021,A01,2021 Annual,74.6
LEU0257917249,2022,A01,2022 Annual,73.1
LEU0257917249,2023,A01,2023 Annual,75.0
LEU0257917249,2024,A01,2024 Annual,73.1
LEU0257917249,2025,A01,2025 Annual,77.9
